,종목명,현재가,전일대비,등락률
0,이화전기,400,상승 105,+35.59%
1,동일스틸럭스,"3,640",상한가 840,+30.00%
2,삼현,"19,330","상한가 4,460",+29.99%
3,셀루메드,802,상한가 185,+29.98%
4,디에이피,"2,510",상한가 578,+29.92%
5,일승,"8,030","상승 1,500",+22.97%
6,상상인증권,824,상승 143,+21.00%
7,원익홀딩스,"11,280","상승 1,940",+20.77%
8,조선선재,"131,500","상승 22,400",+20.53%
9,뉴로핏,"15,760","상승 2,600",+19.76%
10,KD,916,상승 149,+19.43%
11,클로봇,"25,800","상승 3,750",+17.01%
12,한국주강,"2,095",상승 291,+16.13%
13,코리아써키트,"15,130","상승 2,030",+15.50%
14,초록뱀미디어,"7,210",상승 940,+14.99%
