,종목명,현재가,전일대비,등락률
0,이트론,5,하락 -5,-50.00%
1,이아이디,65,하락 -37,-36.27%
2,오아,"14,430","하락 -3,800",-20.84%
3,압타머사이언스,"1,091",하락 -209,-16.08%
4,딥노이드,"4,905",하락 -825,-14.40%
5,코오롱모빌리티그룹,"3,225",하락 -435,-11.89%
6,그린리소스,"10,650","하락 -1,100",-9.36%
7,고바이오랩,"6,100",하락 -550,-8.27%
8,동성화인텍,"31,250","하락 -2,800",-8.22%
9,대양전기공업,"29,500","하락 -2,500",-7.81%
10,STX엔진,"44,000","하락 -3,550",-7.47%
11,에스엔시스,"47,500","하락 -3,700",-7.23%
12,코아스,"7,870",하락 -610,-7.19%
13,HJ중공업,"27,250","하락 -1,950",-6.68%
14,우리기술투자,"10,230",하락 -730,-6.66%
