,종목명,현재가,전일대비,등락률
0,삼현,"19,330","상한가 4,460",+29.99%
1,원익홀딩스,"11,290","상승 1,950",+20.88%
2,코리아써키트,"15,160","상승 2,060",+15.73%
3,젬백스,"56,200","상승 6,950",+14.11%
4,심텍,"28,300","상승 3,450",+13.88%
5,기가비스,"30,450","상승 3,350",+12.36%
6,하나마이크론,"15,720","상승 1,700",+12.13%
7,미래에셋증권,"21,900","상승 2,200",+11.17%
8,오리엔탈정공,"12,000","상승 1,100",+10.09%
9,코스메카코리아,"65,600","상승 5,500",+9.15%
10,네오셈,"9,180",상승 760,+9.03%
11,키움증권,"230,000","상승 17,500",+8.24%
12,동진쎄미켐,"31,600","상승 2,350",+8.03%
13,테스,"30,850","상승 2,150",+7.49%
14,셀비온,"23,550","상승 1,600",+7.29%
