,종목명,현재가,전일대비,등락률
0,딥노이드,"4,890",하락 -840,-14.66%
1,그린리소스,"10,690","하락 -1,060",-9.02%
2,동성화인텍,"31,350","하락 -2,700",-7.93%
3,STX엔진,"44,200","하락 -3,350",-7.05%
4,에스엔시스,"47,850","하락 -3,350",-6.54%
5,우리기술투자,"10,260",하락 -700,-6.39%
6,솔루엠,"18,210","하락 -1,140",-5.89%
7,한국카본,"33,500","하락 -2,050",-5.77%
8,에스티팜,"92,800","하락 -5,500",-5.60%
9,한미약품,"290,500","하락 -15,500",-5.07%
10,태웅,"35,150","하락 -1,650",-4.48%
11,태광,"26,150","하락 -1,200",-4.39%
12,메지온,"53,400","하락 -2,400",-4.30%
13,성광벤드,"33,850","하락 -1,500",-4.24%
14,동신건설,"18,610",하락 -760,-3.92%
